customer_id,tenure_months,monthly_charges,contract_type,support_calls,payment_method,international_plan,churned
C100000,7,23.39,month-to-month,1,credit_card,no,1
C100001,55,88.3,one-year,1,credit_card,no,0
C100002,47,115.05,month-to-month,1,electronic_check,no,1
C100003,32,102.92,month-to-month,3,electronic_check,no,1
C100004,31,,month-to-month,0,credit_card,no,0
C100005,61,,one-year,0,credit_card,no,0
C100006,7,114.04,two-year,1,bank_transfer,no,0
C100007,50,113.71,two-year,2,electronic_check,no,0
C100008,15,73.24,one-year,1,bank_transfer,no,0
C100009,7,,one-year,0,credit_card,no,1
C100010,38,66.26,one-year,1,bank_transfer,no,0
C100011,70,61.98,month-to-month,2,credit_card,no,0
C100012,53,31.94,month-to-month,0,bank_transfer,no,0
C100013,55,29.68,one-year,1,electronic_check,yes,0
C100014,51,43.27,one-year,1,credit_card,no,0
C100015,56,103.66,month-to-month,0,electronic_check,no,1
C100016,37,34.58,two-year,1,bank_transfer,no,0
C100017,10,42.67,one-year,1,credit_card,no,0
C100018,60,74.86,month-to-month,2,credit_card,no,0
C100019,32,41.51,month-to-month,2,credit_card,no,1
C100020,36,36.32,month-to-month,1,electronic_check,no,1
C100021,27,76.33,month-to-month,2,electronic_check,no,1
C100022,13,56.81,month-to-month,1,bank_transfer,no,1
C100023,66,82.62,month-to-month,0,bank_transfer,no,0
C100024,56,111.22,month-to-month,1,bank_transfer,no,0
C100025,46,35.1,month-to-month,2,bank_transfer,no,0
C100026,29,111.34,one-year,2,bank_transfer,no,0
C100027,59,110.25,one-year,1,credit_card,no,0
C100028,39,102.91,month-to-month,1,electronic_check,no,0
C100029,32,,month-to-month,3,electronic_check,yes,1
C100030,32,82.01,month-to-month,0,electronic_check,no,0
C100031,17,83.92,month-to-month,1,credit_card,no,1
C100032,7,89.05,month-to-month,4,bank_transfer,no,1
C100033,40,21.65,month-to-month,1,credit_card,no,0
C100034,64,115.81,month-to-month,1,bank_transfer,no,0
C100035,5,78.56,two-year,2,credit_card,no,0
C100036,61,98.15,month-to-month,0,bank_transfer,no,0
C100037,59,57.73,two-year,0,credit_card,no,0
C100038,20,21.24,month-to-month,3,bank_transfer,no,1
C100039,45,70.97,month-to-month,0,bank_transfer,no,0
C100040,12,70.72,two-year,2,bank_transfer,no,0
C100041,54,63.7,month-to-month,3,bank_transfer,no,1
C100042,50,53.97,one-year,3,electronic_check,no,0
C100043,26,44.98,two-year,2,bank_transfer,no,0
C100044,5,72.75,one-year,2,credit_card,no,1
C100045,69,57.53,month-to-month,0,bank_transfer,no,0
C100046,32,116.99,month-to-month,3,bank_transfer,no,1
C100047,64,37.29,month-to-month,2,credit_card,no,0
C100048,49,51.97,month-to-month,0,bank_transfer,no,0
C100049,56,49.4,month-to-month,1,electronic_check,no,0
C100050,54,74.33,two-year,2,bank_transfer,no,0
C100051,14,69.93,one-year,2,bank_transfer,yes,1
C100052,26,84.37,month-to-month,4,electronic_check,no,1
C100053,34,115.0,month-to-month,1,credit_card,no,1
C100054,36,48.52,one-year,1,electronic_check,yes,0
C100055,4,89.28,two-year,3,credit_card,yes,1
C100056,39,22.5,month-to-month,0,bank_transfer,no,0
C100057,11,46.24,month-to-month,1,bank_transfer,no,1
C100058,53,66.37,two-year,2,credit_card,yes,0
C100059,49,23.1,two-year,2,electronic_check,no,0
C100060,66,81.77,two-year,1,credit_card,no,0
C100061,53,87.83,month-to-month,1,bank_transfer,yes,1
C100062,27,94.67,month-to-month,1,bank_transfer,no,1
C100063,69,,month-to-month,1,electronic_check,yes,1
C100064,30,80.39,month-to-month,1,credit_card,yes,1
C100065,24,59.61,two-year,1,credit_card,no,0
C100066,65,24.13,month-to-month,1,bank_transfer,no,0
C100067,27,30.0,one-year,2,electronic_check,no,1
C100068,6,85.5,two-year,2,electronic_check,no,1
C100069,34,119.56,two-year,1,credit_card,no,0
C100070,57,21.58,one-year,1,bank_transfer,no,0
C100071,14,75.76,two-year,3,credit_card,no,1
C100072,33,95.1,month-to-month,1,electronic_check,no,1
C100073,10,,month-to-month,1,bank_transfer,no,1
C100074,49,74.52,month-to-month,0,bank_transfer,no,0
C100075,34,81.99,two-year,0,credit_card,no,0
C100076,24,89.67,two-year,1,bank_transfer,no,0
C100077,17,105.9,month-to-month,2,bank_transfer,no,1
C100078,41,32.23,month-to-month,0,credit_card,no,0
C100079,48,112.62,month-to-month,0,credit_card,no,0
C100080,67,22.6,month-to-month,0,electronic_check,no,0
