listing_id,sqft,bedrooms,bathrooms,age_years,neighborhood,has_garage,price
L200000,3248,5,4,79,suburbs,yes,537400.0
L200001,2828,3,2,48,waterfront,no,596700.0
L200002,1600,4,3,72,suburbs,no,328700.0
L200003,3910,4,4,71,rural,no,601900.0
L200004,3937,4,4,35,suburbs,yes,641500.0
L200005,3419,3,3,35,suburbs,yes,581200.0
L200006,1690,3,3,67,waterfront,yes,385100.0
L200007,2188,2,1,30,downtown,no,417000.0
L200008,3427,4,4,18,rural,yes,626300.0
L200009,1328,2,1,45,downtown,no,257600.0
L200010,1032,2,1,47,suburbs,no,169300.0
L200011,2170,2,1,65,waterfront,no,501100.0
L200012,2734,3,3,12,rural,no,451800.0
L200013,4085,3,3,38,rural,no,602200.0
L200014,1843,1,1,46,rural,no,272000.0
L200015,1443,2,1,76,suburbs,yes,227500.0
L200016,3347,4,4,17,suburbs,yes,536100.0
L200017,4012,5,4,49,suburbs,no,634500.0
L200018,3935,5,4,46,downtown,yes,786500.0
L200019,3066,3,3,76,suburbs,no,489600.0
L200020,660,2,1,34,downtown,yes,259800.0
L200021,3146,2,2,14,rural,yes,480500.0
L200022,1045,1,1,44,suburbs,yes,195700.0
L200023,3671,4,3,68,downtown,no,640300.0
L200024,4209,5,4,12,suburbs,yes,727000.0
L200025,2981,3,2,57,rural,yes,466000.0
L200026,1533,1,1,40,rural,yes,210800.0
L200027,1764,2,1,63,suburbs,yes,324800.0
L200028,3450,3,3,25,suburbs,yes,602700.0
L200029,3563,4,3,68,downtown,yes,640100.0
L200030,3768,4,4,11,rural,yes,641100.0
L200031,996,1,1,42,rural,no,139300.0
L200032,3488,4,3,40,downtown,no,598200.0
L200033,4345,5,4,22,downtown,no,771900.0
L200034,725,1,1,11,downtown,yes,234200.0
L200035,2281,1,1,75,suburbs,yes,336500.0
L200036,3468,4,4,34,downtown,yes,683500.0
L200037,2663,3,3,74,rural,no,410600.0
L200038,4350,4,4,25,suburbs,no,709000.0
